Classes> 1(1), 2(2), 3(3), 4(4), 5(7), 6(8), 7(9), 8(5), 9(17), 10(23), 11(25), 12(26), 13(15), 14(19), 15(20), 16(21), 17(22)

Class	||	Total Frames	||	Used-Frames	||	Range
1	||	184		||	110		||	55-164
2	||	140		||	100		||	0-99
3	||	147		||	110		||	0-109
4	||	129		||	60		||	4-99
5	||	145		||	75		||	35-109
6	||	100		||	75		||	0-74
7	||	93		||	75		||	0-74
8	||	90		||	76		||	0-75
9	||	150		||	80		||	31-110
10	||	140		||	84		||	23-106
11	||	95		||	68		||	0-67
12	||	146		||	72		||	56-127
13	||	154		||	73		||	28-100
14	||	196		||	68		||	88-155
15	||	127		||	72		||	0-71
16	||	197		||	67		||	94-160
17	||	156		||	74		||	64-133

--------------------------------------------------------------------------------------------------------------

		DATASET-1 (7-classes)

Class	||	Total	||	Train		||	Test
1	||	110	||	84 (76%)	||	26 
2	||	100	||	78 (78%)	||	22
3	||	110	||	84 (76%)	||	26
4	||	60	||	52 (86%)	||	8
5	||	75	||	66 (88%)	||	9	
6	||	75	||	63 (84%)	||	12
7	||	75	||	57 (76%)	||	18

---------------------------------------------------------------------------------------------------------------
		DATASET-2 (17-classes)

Class	||	Total	||	Train		||	Test
1	||	110	||			||	
2	||	100	||			||	
3	||	110	||			||	
4	||	60	||			||	
5	||	75	||			||	
6	||	75	||			||	
7	||	75	||			||	
8	||	76	||			||	
9	||	80	||			||	
10	||	84	||			||	
11	||	68	||			||	
12	||	72	||			||	
13	||	73	||			||	
14	||	68	||			||	
15	||	72	||			||	
16	||	67	||			||	
17	||	74	||			||	
